"frostobs" "tobs" "indic" "name" "alti" "date" "flevap" "flir" "fllat" "hu1000" "hu2" "nb" "nc" "nh" "nm" "ntHm3" "nt" "pmer" "rrcv" "rrge" "sncv" "snge" "gradt1" "tprev" "ff" "month" "ddf"
"14" "0" 1 "54526001" "TOMBLAINE" 212 2011-01-01 0.00868220953270785 -303366.539106013 25306.766948804 87.2438244293898 99.2129583718869 7.8615625500679 0 1.91029378572919 0 6.7600053548813 7.88096999062373 1023.57857593197 0 0.0184631768407189 0 0.0553353896779149 -5.00733531746586 -0.75256102051878 1.99259358631143 "1" "N"
"15" "0" 2.09999990463257 "59343001" "LESQUIN" 47 2011-01-01 0.0218597413739125 -737364.408818424 53136.0025878772 80.6502282477447 98.4213011097168 1.7654724770796 0 2.58234389841573 0 3.41062738180063 3.78203370273196 1025.02284999599 0.00135009235702196 0.00346680451184514 0 0 -2.42778940617972 -1.02355477437437 1.99637950807590 "1" "W"
"16" "0" 0.200000002980232 "63113001" "CLERMONT-FERRAND" 331 2011-01-01 -0.050157335018696 -47231.8206139208 -126150.287109375 89.4008345283654 96.8435694791026 8 0 0.936556199805637 0 8 8 1023.24990094719 0 0.0838581225099225 0 0.158097763247268 -3.62066446330395 -0.57956765587947 2.50461637075726 "1" "N"
"17" "1" -0.899999976158142 "67124001" "ENTZHEIM" 150 2011-01-01 0.000325794625041453 -38197.4977281094 -444.645869255066 74.4633802082149 97.8057628942793 6.79096675576875 0 1.76424320429214 0.917238068854203 7.9257897514035 7.10196320654359 1022.98294718495 0 0.263731722901866 0 0.0528351838133858 -4.8544889108889 -0.111478789373336 0.745965326606646 "1" "C"
"18" "0" 0.800000011920929 "69029001" "BRON" 197 2011-01-01 -0.0509418607273277 -54544.9496686609 -130418.704914108 96.5456834133608 96.4298792400445 8 0 0.164896607398986 0.272399333757675 8 8 1021.40553129346 0 0.0628950448307823 0 0.100790124250225 -3.54540933785712 -0.080064779308827 3.98843927052119 "1" "N"
"19" "0" 3.20000004768372 "75114001" "PARIS-14E" 75 2011-01-01 0.0213788119868036 -232509.439358487 53511.8335355821 84.0487736478429 98.8317769236291 7.9831630450617 0 3.49778720977515 0 6.5839972955118 7.9831630450617 1024.99286685944 0 0.0257861362770199 0 0 -4.48360653120221 0.905820611784973 2.66525732338155 "1" "N"
"20" "0" 1.39999997615814 "76116001" "BOOS" 151 2011-01-01 0.0263297522809981 -269412.128496672 67657.064132307 80.9718652829442 97.3322885083552 5.49987737945275 0 2.45271466672419 0 6.63612893334583 6.26425325981335 1025.83213286400 0 0.0181088972151695 0 6.77922777141348e-05 -4.77447901946309 0.728285317196905 2.35297163888491 "1" "N"
"21" "0" 1.79999995231628 "80001001" "ABBEVILLE" 70 2011-01-01 0.0107774604809805 -735743.03329882 28398.8189452291 82.1759834955286 97.8554635273888 4.42964980303982 0 1.40703183710321 0.0223960876464835 2.78546616137283 5.09912598430853 1025.84385106182 0.0027435081084376 0.00156652131121856 0 0 -2.48864509090208 -1.19468144029758 1.89518825455199 "1" "N"
"22" "0" 0.699999988079071 "86027001" "BIARD" 123 2011-01-01 -0.0814037742291468 -81918.274086685 -204451.295595991 86.0262123461073 91.5622731415409 6.23770067485335 1.49079006198972 4.48079438795431 0 8 7.22938770292889 1024.03406805158 5.15848964424256e-05 1.72613918838533e-05 0.0406259452759526 8.6008040605565e-05 -3.441324557601 0.359569925129209 4.26050883204540 "1" "N"
"23" "1" -0.699999988079071 "87085006" "LIMOGES" 402 2011-01-01 -0.0668857783483645 -45515.6747619173 -166177.054616936 51.689018397966 88.3826587718817 8 1.86432410730909 6.68309738074777 0 8 8 1022.28733583450 0 0.010429261071458 0.00322336812034489 0.00895764761448014 1.50348684603932 0.0336730552851236 4.94055535821788 "1" "E"
